μ,σ
0.7077419307787836,0.6818885532964836
0.7773737139204565,0.7802357838063199
0.15415106500449108,0.09002296636101631
0.6567657173988873,0.7339693423906354
0.7677999200915536,0.6303145812857373
0.6866928756019202,0.3548355891325973
-0.18287126222748093,-0.360035256112492
0.7740689761666617,0.5954376083038037
0.8480912724175288,0.808528990053697
0.7202235073915411,0.6570093473411509
0.8495942424860415,0.7826380628943834
0.5373952576949336,0.5497584648025541
0.8347086012002186,0.8149609832821595
0.7556287115185812,0.5713469358612469
0.802303106299514,0.5734134193451805
0.7321369278616611,0.7080043398241288
0.8340912825573004,0.8277346548167469
0.7377991113889034,0.5724953442637293
0.7819014252954889,0.7517861170950261
0.6078182074547301,0.25917971338414214
0.5304285987397467,0.22489612591070882
0.6115125501186002,0.23970690396420857
0.732487574009676,0.7598902887479144
0.8322061697647043,0.8138124090929355
0.8240300186016272,0.7785462062558232
0.8571350096613938,0.8138520462738172
0.8069670506517176,0.7507815272849342
0.7962607003576809,0.7289683717418535
0.7702596774026323,0.5683309485017347
0.7542776819898583,0.7275114728578483
0.7717601991060666,0.6677430483620379
0.6610576454088147,0.5903852866318949
0.8348977253152573,0.8091413966960945
0.742992458418572,0.6177444537151046
0.6199506283404803,0.6572010757902578
0.8111952756614953,0.8021847544047519
0.810939253449921,0.7520870045022909
0.784767962828873,0.7388849337614767
0.6543088084328618,0.4164352051985922
0.8264888855252941,0.7832667626141945
0.804114594377214,0.7231263101754394
0.7302960656416364,0.7480099405895821
0.49378787025940524,0.6955004788436304
0.7792172268011824,0.7922829720105004
0.004822721873346495,0.024575855949650068
0.5479564898964817,0.05475654543153182
0.5854227660342557,0.6999462241196963
0.7752144983321151,0.7817331398839511
0.7471191410550971,0.6854486816967742
0.8137254020866674,0.7679095073270352
0.801437928651782,0.787289141391808
0.8255415587452054,0.7907100682748197
0.8453833110495385,0.8227021516266592
0.3666193318858282,0.3707965622191751
0.5329757015227287,0.6361828104431334
0.8381572682623907,0.7815085578393272
0.7803434012845336,0.7263072023479336
0.8507178304781247,0.7407513541291726
0.820056772997828,0.763642041069401
0.8302332311233732,0.84266718910693
0.12077289334460212,-0.2586935117111186
0.7366808985390826,0.6713149749518768
0.8582766473443281,0.814954829559853
0.8415903583642063,0.8118428365818331
0.7356294031805535,0.3401448864933898
0.8461735444535442,0.7953509811889595
0.7206779714454231,0.6990426542389762
-0.08165699582831486,-0.2686491910983453
0.811865166651836,0.6743797974652788
0.8200453321577417,0.7636685269909769
0.7969583009523133,0.7395495650921254
0.6918659260334183,0.6610519603834969
0.802708175486256,0.7424608055668259
0.8229953691517558,0.7064506717514994
0.6853580037609729,0.6466600021368302
0.8519497688627589,0.8129680672597185
0.8299108166563351,0.6632244964399377
0.8202439141480274,0.773171842109945
0.8485941474696862,0.6900070469767259
0.7198682888678343,0.6898057897316405
0.8122746610014724,0.7416823104775766
0.7744685734136365,0.3957830950562062
0.7734156380991722,0.7561901518413825
0.8271109976987129,0.7660785419178213
0.8195246260521246,0.7328531537173725
0.7839073866154276,0.16525236056877277
0.8390065803215098,0.6537061303932472
0.8103718884535133,0.746102368281632
0.7853834711524413,0.7619346317889949
0.7917510462081463,0.7712414002987353
0.8151733503946619,0.7501974559204977
0.11760268196952597,-0.07088397335717513
0.6858458522084291,0.38686478537047375
0.7664211578692356,0.7452228925193795
0.8306736856646876,0.768398523634453
0.6772902991077765,0.6705143547516007
0.6534240560199647,0.6507921158414824
0.6738087680386404,0.6770861059903845
0.8512948343253541,0.79263791550694
0.7951466306623,0.7665658588510523
0.8328099944069983,0.7815119773776962
0.816060686363809,0.7739807035029175
0.8092420139311036,0.738940312829271
0.7867216359717882,0.7256559190680246
0.8515250626378842,0.8144973940974372
0.5380185295941332,0.5890153276024183
0.6053302975908751,0.07599460304003307
0.7850427842050499,0.7673309484481895
0.7714958016565601,0.40898734816414245
0.7912565482202393,0.7570671530174068
0.7949501515332524,0.40389421995497643
0.5915135874346257,0.07237984462857826
0.7909494671990968,0.737960167409639
0.836029383558536,0.7700112857141236
0.8140806036833064,0.783141834116111
0.793164928473086,0.4286404351649366
0.5126813378826893,0.6656331273641187
0.8354107205538955,0.4976670890183932
0.685012492081888,0.28514835990013987
0.6266542574127508,0.7077650490048228
0.2963286261804257,0.2904276527044222
0.8197317235796265,0.7785919291229533
0.8213029348957978,0.7741539292527341
0.7477815607918787,0.3407154275274586
0.8405567262232247,0.7704517955506266
0.8562673032228085,0.8249738123947827
0.07517691462081597,0.08337457603021606
0.7910679217175591,0.7269945786454242
0.6938922270649863,0.6720521931370097
0.5748370401706169,0.5585860919011945
0.8720302364349924,0.8442906383907431
0.7944020726646049,0.7687905707488838
0.6948518874746146,0.5560737328084149
0.8399168553214554,0.7845096978972593
0.8380636514964487,0.8092214896579689
0.744828530074142,0.5617657425366696
0.8299433943517305,0.7850596122905059
0.7369442539251295,0.7394456201503228
-0.6817063972034176,-0.5933773801658567
0.6712753827493997,0.675595657256614
0.7820521745454633,0.7529035894665393
0.827076867230656,0.7385464819790075
0.8398530837190279,0.8015974831587567
0.811545402788732,0.7381575309031921
0.588009586057477,0.49104429893898216
0.7639173559728994,0.7021456281880029
0.8159311307440051,0.7426038062968208
0.5660035014332478,0.567142603308653
0.25911729286685337,0.15018201086415867
0.8178606835716561,0.7600530949980859
0.7347936162154365,0.7421090882377203
0.7938340446945624,0.7602237517263541
0.8450899779665316,0.7852001719163422
0.8196399097168392,0.7826779452570228
0.77209838841803,0.7818339666521575
0.8069425511905766,0.7123792899296237
0.6187894621989068,0.7360239137017778
0.8179098882171065,0.7920408802447093
0.3301671153641935,0.35826114014717536
0.7880991095487275,0.8239785678355857
0.7978572120426063,0.773932932849021
0.481395039106976,0.5321759715067683
0.838990834241325,0.798751439685138
0.7837424413843709,0.6439266349775331
0.7857923720401818,0.780965754861412
0.8224449532902057,0.7573526816875846
0.8098491542907766,0.7140722595574097
0.7816939960989994,0.7656724501271819
